"college","dataSource","draftClass","image","name","nationality","ovr","position","realLifeRosterStatus","team","url"
"","Madden NFL 26 (backfilled)","2025","https://www.maddenratings.com/wp-content/uploads/kobe-hudson-15084-madden-photo.png","Kobe Hudson","United States","65","WR","free_agent","Free Agent","https://www.maddenratings.com/kobe-hudson"
"UCLA","Madden NFL 26 (backfilled)","2022","https://www.maddenratings.com/wp-content/uploads/kyle-philips-22364-madden-photo.png","Kyle Philips","United States","71","WR","free_agent","Free Agent","https://www.maddenratings.com/kyle-philips"
"","placeholder — no rating source found","2020","https://www.maddenratings.com/wp-content/uploads/khalil-davis.png","Khalil Davis","United States","","","free_agent","Free Agent","https://www.maddenratings.com/khalil-davis"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/kyle-peko.png","Kyle Peko","United States","70","DL","free_agent","Free Agent","https://www.maddenratings.com/kyle-peko"
"Florida","Madden NFL 26 (backfilled)","2021","https://www.maddenratings.com/wp-content/uploads/kyle-trask-21558-madden-photo.png","Kyle Trask","United States","59","QB","free_agent","Free Agent","https://www.maddenratings.com/kyle-trask"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/kyler-mcmichael-22266-madden-photo.png","Kyler McMichael","United States","61","DB","free_agent","Free Agent","https://www.maddenratings.com/kyler-mcmichael"
"West Virginia","Madden NFL 26 (backfilled)","2018","https://www.maddenratings.com/wp-content/uploads/kyzir-white.png","Kyzir White","United States","79","LB","free_agent","Free Agent","https://www.maddenratings.com/kyzir-white"
"Louisville","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/lamar-jackson-21154-madden-photo.png","Lamar Jackson","United States","61","DB","assigned","Baltimore Ravens","https://www.maddenratings.com/lamar-jackson-cb"
"","placeholder — no rating source found","","https://www.maddenratings.com/wp-content/uploads/leraven-clark.png","Le&#8217;Raven Clark","United States","","","free_agent","Free Agent","https://www.maddenratings.com/leraven-clark"
"Colorado","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/laviska-shenault-jr-20942-madden-photo.png","Laviska Shenault Jr","United States","72","WR","free_agent","Free Agent","https://www.maddenratings.com/laviska-shenault-jr"
"","placeholder — no rating source found","","https://www.maddenratings.com/wp-content/uploads/leroy-watson-22539-madden-photo.png","Leroy Watson","United States","","","free_agent","Free Agent","https://www.maddenratings.com/leroy-watson"
"Georgia","Madden NFL 26 (backfilled)","2022","https://www.maddenratings.com/wp-content/uploads/lewis-cine-22397-madden-photo.png","Lewis Cine","Haiti","70","DB","free_agent","Free Agent","https://www.maddenratings.com/lewis-cine"
"","placeholder — no rating source found","","https://www.maddenratings.com/wp-content/uploads/lester-cotton-sr.png","Lester Cotton Sr","United States","","","free_agent","Free Agent","https://www.maddenratings.com/lester-cotton-sr"
"Wisconsin","placeholder — no rating source found","2022","https://www.maddenratings.com/wp-content/uploads/logan-bruss.png","Logan Bruss","United States","","","free_agent","Free Agent","https://www.maddenratings.com/logan-bruss"
"","Madden NFL 26 (backfilled)","2025","https://www.maddenratings.com/wp-content/uploads/luke-kandra-15156-madden-photo.png","Luke Kandra","United States","63","OL","free_agent","Free Agent","https://www.maddenratings.com/luke-kandra"
"Georgia","placeholder — no rating source found","2018","https://www.maddenratings.com/wp-content/uploads/lorenzo-carter.png","Lorenzo Carter","","","","free_agent","Free Agent","https://www.maddenratings.com/lorenzo-carter"
"","Madden NFL 26 (backfilled)","2018","https://www.maddenratings.com/wp-content/uploads/logan-woodside.png","Logan Woodside","United States","57","QB","free_agent","Free Agent","https://www.maddenratings.com/logan-woodside"
"","placeholder — no rating source found","","https://www.maddenratings.com/wp-content/uploads/Luke-Masterson.png","Luke Masterson","United States","","","free_agent","Free Agent","https://www.maddenratings.com/luke-masterson"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/malik-hamm-23342-madden-photo.png","Malik Hamm","United States","66","LB","free_agent","Free Agent","https://www.maddenratings.com/malik-hamm"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/malik-taylor-21394-madden-photo.png","Malik Taylor","United States","65","WR","free_agent","Free Agent","https://www.maddenratings.com/malik-taylor"
"Florida","Madden NFL 26 (backfilled)","2017","https://www.maddenratings.com/wp-content/uploads/marcus-maye.png","Marcus Maye","United States","78","DB","free_agent","Free Agent","https://www.maddenratings.com/marcus-maye"
"West Virginia","placeholder — no rating source found","2015","https://www.maddenratings.com/wp-content/uploads/mark-glowinski.png","Mark Glowinski","United States","","","free_agent","Free Agent","https://www.maddenratings.com/mark-glowinski"
"Utah","placeholder — no rating source found","2017","https://www.maddenratings.com/wp-content/uploads/marcus-williams.png","Marcus Williams","United States","","","free_agent","Free Agent","https://www.maddenratings.com/marcus-williams"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/mario-goodrich-22246-madden-photo.png","Mario Goodrich","United States","66","DB","assigned","Tennessee Titans","https://www.maddenratings.com/mario-goodrich"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/marlon-davidson.png","Marlon Davidson","United States","71","DL","assigned","New York Giants","https://www.maddenratings.com/marlon-davidson"
"Houston","Madden NFL 26 (backfilled)","2018","https://www.maddenratings.com/wp-content/uploads/matthew-adams.png","Matthew Adams","United States","68","LB","free_agent","Free Agent","https://www.maddenratings.com/matthew-adams"
"Michigan","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/maurice-hurst.png","Maurice Hurst","United States","72","DL","free_agent","Free Agent","https://www.maddenratings.com/maurice-hurst"
"","Madden NFL 26 (backfilled)","2025","https://www.maddenratings.com/wp-content/uploads/mello-dotson-15325-madden-photo.png","Mello Dotson","United States","62","DB","free_agent","Free Agent","https://www.maddenratings.com/mello-dotson"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/mctelvin-agim-21118-madden-photo.png","McTelvin Agim","United States","66","DL","free_agent","Free Agent","https://www.maddenratings.com/mctelvin-agim"
"","placeholder — no rating source found","","https://www.maddenratings.com/wp-content/uploads/micah-abernathy.png","Micah Abernathy","United States","","","free_agent","Free Agent","https://www.maddenratings.com/micah-abernathy"
"Maryland","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/michael-dunn.png","Michael Dunn","United States","65","OL","free_agent","Free Agent","https://www.maddenratings.com/michael-dunn"
"Colorado St.","Madden NFL 26 (backfilled)","2018","https://www.maddenratings.com/wp-content/uploads/michael-gallup-13108-madden-photo.png","Michael Gallup","United States","72","WR","free_agent","Free Agent","https://www.maddenratings.com/michael-gallup"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/michael-pratt-14612-madden-photo.png","Michael Pratt","United States","59","QB","free_agent","Free Agent","https://www.maddenratings.com/michael-pratt"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/michael-barrett-14914-madden-photo.png","Michael Barrett","United States","65","LB","free_agent","Free Agent","https://www.maddenratings.com/michael-barrett"
"Oklahoma","placeholder — no rating source found","2022","https://www.maddenratings.com/wp-content/uploads/michael-woods.png","Michael Woods","United States","","","free_agent","Free Agent","https://www.maddenratings.com/michael-woods"
"Ole Miss","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/mike-hilton-12981-madden-photo.png","Mike Hilton","United States","76","DB","free_agent","Free Agent","https://www.maddenratings.com/mike-hilton"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/mike-greene-23290-madden-photo.png","Mike Greene","United States","65","DL","free_agent","Free Agent","https://www.maddenratings.com/mike-greene"
"Cincinnati","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/mike-boone.png","Mike Boone","United States","68","RB","free_agent","Free Agent","https://www.maddenratings.com/mike-boone"
"Miami","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/Mitchell-Agude.png","Mitchell Agude","United States","62","LB","free_agent","Free Agent","https://www.maddenratings.com/mitchell-agude"
"University of Charleston","Madden NFL 26 (backfilled)","2021","https://www.maddenratings.com/wp-content/uploads/mike-strachan-21756-madden-photo.png","Mike Strachan","Bahamas","66","WR","free_agent","Free Agent","https://www.maddenratings.com/mike-strachan"
"Notre Dame","Madden NFL 26 (backfilled)","2019","https://www.maddenratings.com/wp-content/uploads/miles-boykin-20643-madden-photo.png","Miles Boykin","United States","71","WR","free_agent","Free Agent","https://www.maddenratings.com/miles-boykin"
"Colorado St.","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/morgan-fox-12512-madden-photo.png","Morgan Fox","United States","73","DL","free_agent","Free Agent","https://www.maddenratings.com/morgan-fox"
"","Madden NFL 26 (backfilled)","2015","https://www.maddenratings.com/wp-content/uploads/mycole-pruitt.png","MyCole Pruitt","United States","71","TE","free_agent","Free Agent","https://www.maddenratings.com/mycole-pruitt"
"Georgia","Madden NFL 26 (backfilled)","2021","https://www.maddenratings.com/wp-content/uploads/monty-rice-21501-madden-photo.png","Monty Rice","United States","68","LB","free_agent","Free Agent","https://www.maddenratings.com/monty-rice"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/nate-brooks-20909-madden-photo.png","Nate Brooks","United States","62","DB","free_agent","Free Agent","https://www.maddenratings.com/nate-brooks"
"Stanford","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/nate-herbig.png","Nate Herbig","United States","64","OL","free_agent","Free Agent","https://www.maddenratings.com/nate-herbig"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/netane-muti-20976-madden-photo.png","Netane Muti","United States","71","OL","free_agent","Free Agent","https://www.maddenratings.com/netane-muti"
"Samford","Madden NFL 26 (backfilled)","2022","https://www.maddenratings.com/wp-content/uploads/montrell-washington-22481-madden-photo.png","Montrell Washington","United States","68","WR","assigned","Houston Texans","https://www.maddenratings.com/montrell-washington"
"USC","Madden NFL 26 (backfilled)","2015","https://www.maddenratings.com/wp-content/uploads/nelson-agholor.png","Nelson Agholor","","77","WR","free_agent","Free Agent","https://www.maddenratings.com/nelson-agholor"
"Auburn","Madden NFL 26 (backfilled)","2017","https://www.maddenratings.com/wp-content/uploads/montravius-adams.png","Montravius Adams","United States","74","DL","free_agent","Free Agent","https://www.maddenratings.com/montravius-adams"
"South Carolina","Madden NFL 26 (backfilled)","2022","https://www.maddenratings.com/wp-content/uploads/nick-muse-22099-madden-photo.png","Nick Muse","United States","62","TE","assigned","Detroit Lions","https://www.maddenratings.com/nick-muse"
"Nebraska","placeholder — no rating source found","","https://www.maddenratings.com/wp-content/uploads/nick-gates.png","Nick Gates","United States","","","free_agent","Free Agent","https://www.maddenratings.com/nick-gates"
"Ohio St.","placeholder — no rating source found","2022","https://www.maddenratings.com/wp-content/uploads/nicholas-petit-frere.png","Nicholas Petit-Frere","United States","","","free_agent","Free Agent","https://www.maddenratings.com/nicholas-petit-frere"
"Washington","Madden NFL 26 (backfilled)","2020","https://www.maddenratings.com/wp-content/uploads/nick-harris.png","Nick Harris","United States","67","OL","free_agent","Free Agent","https://www.maddenratings.com/nick-harris"
"N.C. State","Madden NFL 26 (backfilled)","2018","https://www.maddenratings.com/wp-content/uploads/nyheim-hines-13268-madden-photo.png","Nyheim Hines","United States","72","RB","free_agent","Free Agent","https://www.maddenratings.com/nyheim-hines"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/nsimba-webster.png","Nsimba Webster","United States","67","WR","free_agent","Free Agent","https://www.maddenratings.com/nsimba-webster"
"UTEP","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/nik-needham-20879-madden-photo.png","Nik Needham","United States","72","DB","free_agent","Free Agent","https://www.maddenratings.com/nik-needham"
"Utah State","Madden NFL 26 (backfilled)","2016","https://www.maddenratings.com/wp-content/uploads/nick-vigil.png","Nick Vigil","United States","74","LB","free_agent","Free Agent","https://www.maddenratings.com/nick-vigil"
"","placeholder — no rating source found","","https://www.maddenratings.com/wp-content/uploads/peyton-hendershot.png","Peyton Hendershot","United States","","","free_agent","Free Agent","https://www.maddenratings.com/peyton-hendershot"
"Old Dominion","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/oshane-ximines.png","Oshane Ximines","United States","73","LB","free_agent","Free Agent","https://www.maddenratings.com/oshane-ximines"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/power-echols-15264-madden-photo.png","Power Echols","United States","61","LB","free_agent","Free Agent","https://www.maddenratings.com/power-echols"
"","placeholder — no rating source found","","https://www.maddenratings.com/wp-content/uploads/raiqwon-oneal-23359-madden-photo.png","Raiqwon O&#8217;Neal","United States","","","free_agent","Free Agent","https://www.maddenratings.com/raiqwon-oneal"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/quindell-johnson-23066-madden-photo.png","Quindell Johnson","United States","64","DB","free_agent","Free Agent","https://www.maddenratings.com/quindell-johnson"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/quinn-bailey.png","Quinn Bailey","United States","67","OL","free_agent","Free Agent","https://www.maddenratings.com/quinn-bailey"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/raheem-blackshear-22621-madden-photo.png","Raheem Blackshear","United States","67","RB","assigned","Detroit Lions","https://www.maddenratings.com/raheem-blackshear"
"Ohio State","placeholder — no rating source found","2017","https://www.maddenratings.com/wp-content/uploads/raekwon-mcmillan.png","Raekwon McMillan","United States","","","free_agent","Free Agent","https://www.maddenratings.com/raekwon-mcmillan"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/rakim-jarrett-22773-madden-photo.png","Rakim Jarrett","United States","68","WR","free_agent","Free Agent","https://www.maddenratings.com/rakim-jarrett"
"Alabama","placeholder — no rating source found","2020","https://www.maddenratings.com/wp-content/uploads/raekwon-davis.png","Raekwon Davis","United States","","","free_agent","Free Agent","https://www.maddenratings.com/raekwon-davis"
"Pittsburgh","Madden NFL 26 (backfilled)","2021","https://www.maddenratings.com/wp-content/uploads/rashad-weaver-21694-madden-photo.png","Rashad Weaver","United States","69","LB","free_agent","Free Agent","https://www.maddenratings.com/rashad-weaver"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/river-cracraft.png","River Cracraft","United States","71","WR","assigned","Washington Commanders","https://www.maddenratings.com/river-cracraft"
"UCF","placeholder — no rating source found","2021","https://www.maddenratings.com/wp-content/uploads/richie-grant-21669-madden-photo.png","Richie Grant","United States","","","free_agent","Free Agent","https://www.maddenratings.com/richie-grant"
"Florida State","Madden NFL 26 (backfilled)","2015","https://www.maddenratings.com/wp-content/uploads/ronald-darby.png","Ronald Darby","United States","81","DB","free_agent","Free Agent","https://www.maddenratings.com/ronald-darby"
"Arkansas","Madden NFL 26 (backfilled)","2023","https://www.maddenratings.com/wp-content/uploads/ricky-stromberg-22857-madden-photo.png","Ricky Stromberg","United States","69","OL","free_agent","Free Agent","https://www.maddenratings.com/ricky-stromberg"
"LSU","placeholder — no rating source found","","https://www.maddenratings.com/wp-content/uploads/russell-gage-jr-13465-madden-photo.png","Russell Gage Jr","United States","","","free_agent","Free Agent","https://www.maddenratings.com/russell-gage-jr"
"Ole Miss","Madden NFL 26 (backfilled)","2021","https://www.maddenratings.com/wp-content/uploads/royce-newman-21647-madden-photo.png","Royce Newman","United States","70","OL","free_agent","Free Agent","https://www.maddenratings.com/royce-newman"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/ryan-stonehouse-21862-madden-photo.png","Ryan Stonehouse","United States","77","P","free_agent","Free Agent","https://www.maddenratings.com/ryan-stonehouse"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/ryan-watts.png","Ryan Watts","United States","65","DB","free_agent","Free Agent","https://www.maddenratings.com/ryan-watts"
"S. Illinois","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/ryan-neal.png","Ryan Neal","United States","66","DB","free_agent","Free Agent","https://www.maddenratings.com/ryan-neal"
"Georgia Tech","placeholder — no rating source found","2015","https://www.maddenratings.com/wp-content/uploads/shaq-mason.png","Shaq Mason","United States","","","free_agent","Free Agent","https://www.maddenratings.com/shaq-mason"
"Texas Tech","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/sam-eguavoen.png","Sam Eguavoen","United States","69","LB","free_agent","Free Agent","https://www.maddenratings.com/sam-eguavoen"
"Oregon","placeholder — no rating source found","2020","https://www.maddenratings.com/wp-content/uploads/shane-lemieux.png","Shane Lemieux","United States","","","free_agent","Free Agent","https://www.maddenratings.com/shane-lemieux"
"Miami","Madden NFL 26 (backfilled)","2020","https://www.maddenratings.com/wp-content/uploads/shaquille-quarterman.png","Shaquille Quarterman","United States","70","LB","free_agent","Free Agent","https://www.maddenratings.com/shaquille-quarterman"
"","placeholder — no rating source found","","https://www.maddenratings.com/wp-content/uploads/shaun-jolly-22264-madden-photo.png","Shaun Jolly","United States","","","free_agent","Free Agent","https://www.maddenratings.com/shaun-jolly"
"Ohio State","Madden NFL 26 (backfilled)","2021","https://www.maddenratings.com/wp-content/uploads/shaun-wade-21462-madden-photo.png","Shaun Wade","United States","70","DB","assigned","Philadelphia Eagles","https://www.maddenratings.com/shaun-wade"
"BYU","placeholder — no rating source found","2019","https://www.maddenratings.com/wp-content/uploads/sione-takitaki.png","Sione Takitaki","United States","","","assigned","Houston Texans","https://www.maddenratings.com/sione-takitaki"
"Southern Miss","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/tarvarius-moore.png","Tarvarius Moore","United States","73","DB","free_agent","Free Agent","https://www.maddenratings.com/tarvarius-moore"
"Kansas","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/steven-sims-20844-madden-photo.png","Steven Sims","United States","68","WR","free_agent","Free Agent","https://www.maddenratings.com/steven-sims"
"Weber State","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/sua-opeta-20666-madden-photo.png","Sua Opeta","United States","66","OL","free_agent","Free Agent","https://www.maddenratings.com/sua-opeta"
"Old Dominion","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/taylor-heinicke-2392-madden-photo.png","Taylor Heinicke","United States","66","QB","free_agent","Free Agent","https://www.maddenratings.com/taylor-heinicke"
"Wagner","placeholder — no rating source found","2023","https://www.maddenratings.com/wp-content/uploads/titus-leo-23271-madden-photo.png","Titus Leo","United States","","","assigned","San Francisco 49ers","https://www.maddenratings.com/titus-leo"
"E. Kentucky","placeholder — no rating source found","","https://www.maddenratings.com/wp-content/uploads/tim-boyle-13690-madden-photo.png","Tim Boyle","United States","","","free_agent","Free Agent","https://www.maddenratings.com/tim-boyle"
"Clemson","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/trayvon-mullen-jr.png","Trayvon Mullen Jr","United States","73","DB","free_agent","Free Agent","https://www.maddenratings.com/trayvon-mullen"
"Alabama","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/tony-brown-ii-13380-madden-photo.png","Tony Brown","United States","67","DB","free_agent","Free Agent","https://www.maddenratings.com/tony-brown"
"Kennesaw State","placeholder — no rating source found","2023","https://www.maddenratings.com/wp-content/uploads/travis-bell-23273-madden-photo.png","Travis Bell","United States","","","assigned","Cleveland Browns","https://www.maddenratings.com/travis-bell"
"Vanderbilt","placeholder — no rating source found","","https://www.maddenratings.com/wp-content/uploads/tre-herndon-13508-madden-photo.png","Tre Herndon","United States","","","free_agent","Free Agent","https://www.maddenratings.com/tre-herndon"
"","placeholder — no rating source found","","https://www.maddenratings.com/wp-content/uploads/trevor-denbow.png","Trevor Denbow","United States","","","free_agent","Free Agent","https://www.maddenratings.com/trevor-denbow"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/tre-swilling-22582-madden-photo.png","Tre Swilling","United States","61","DB","free_agent","Free Agent","https://www.maddenratings.com/tre-swilling"
"TCU","placeholder — no rating source found","2023","https://www.maddenratings.com/wp-content/uploads/trevius-hodges-tomlinson.png","Tre&#8217;Vius Hodges-Tomlinson","United States","","","free_agent","Free Agent","https://www.maddenratings.com/trevius-hodges-tomlinson"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/trey-taylor-15002-madden-photo.png","Trey Taylor","United States","68","DB","free_agent","Free Agent","https://www.maddenratings.com/trey-taylor"
"Stanford","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/trenton-irwin-21962-madden-photo.png","Trenton Irwin","United States","70","WR","assigned","San Francisco 49ers","https://www.maddenratings.com/trenton-irwin"
"Ohio State","Madden NFL 26 (backfilled)","2021","https://www.maddenratings.com/wp-content/uploads/trey-sermon-21631-madden-photo.png","Trey Sermon","United States","67","RB","free_agent","Free Agent","https://www.maddenratings.com/trey-sermon"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/troy-hairston-22622-madden-photo.png","Troy Hairston","United States","65","RB","free_agent","Free Agent","https://www.maddenratings.com/troy-hairston"
"Pittsburgh","placeholder — no rating source found","2016","https://www.maddenratings.com/wp-content/uploads/tyler-boyd.png","Tyler Boyd","United States","","","free_agent","Free Agent","https://www.maddenratings.com/tyler-boyd"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/tyler-mabry-21961-madden-photo.png","Tyler Mabry","United States","60","TE","free_agent","Free Agent","https://www.maddenratings.com/tyler-mabry"
"Wyoming","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/tyler-hall-21423-madden-photo.png","Tyler Hall","United States","69","DB","assigned","Cleveland Browns","https://www.maddenratings.com/tyler-hall"
"Georgia Tech","Madden NFL 26 (backfilled)","2020","https://www.maddenratings.com/wp-content/uploads/tyler-davis-24428-madden-photo.png","Tyler Davis","United States","60","TE","assigned","Los Angeles Rams","https://www.maddenratings.com/tyler-davis"
"Temple","Madden NFL 26 (backfilled)","2016","https://www.maddenratings.com/wp-content/uploads/tyler-matakevich.png","Tyler Matakevich","United States","70","LB","free_agent","Free Agent","https://www.maddenratings.com/tyler-matakevich"
"Houston","Madden NFL 26 (backfilled)","2017","https://www.maddenratings.com/wp-content/uploads/tyus-bowser.png","Tyus Bowser","United States","78","LB","free_agent","Free Agent","https://www.maddenratings.com/tyus-bowser"
"","placeholder — no rating source found","2025","https://www.maddenratings.com/wp-content/uploads/tyreem-powell-15262-madden-photo.png","Tyreem Powell","United States","","","free_agent","Free Agent","https://www.maddenratings.com/tyreem-powell"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/vi-jones-22683-madden-photo.png","Vi Jones","United States","58","LB","free_agent","Free Agent","https://www.maddenratings.com/vi-jones"
"Oklahoma","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/tyrese-robinson-22121-madden-photo.png","Tyrese Robinson","United States","65","OL","free_agent","Free Agent","https://www.maddenratings.com/tyrese-robinson"
"San Jose St.","Madden NFL 26 (backfilled)","2016","https://www.maddenratings.com/wp-content/uploads/wes-schweitzer.png","Wes Schweitzer","United States","64","OL","free_agent","Free Agent","https://www.maddenratings.com/wes-schweitzer"
"Ohio State","Madden NFL 26 (backfilled)","2016","https://www.maddenratings.com/wp-content/uploads/vonn-bell.png","Vonn Bell","United States","82","DB","free_agent","Free Agent","https://www.maddenratings.com/vonn-bell"
"West Virginia","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/will-grier-20330-madden-photo.png","Will Grier","United States","56","QB","free_agent","Free Agent","https://www.maddenratings.com/will-grier"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/william-kwenkeu-22679-madden-photo.png","William Kwenkeu","Cameroon","58","LB","free_agent","Free Agent","https://www.maddenratings.com/william-kwenkeu"
"","Madden NFL 26 (backfilled)","2021","https://www.maddenratings.com/wp-content/uploads/zach-davidson-21770-madden-photo.png","Zach Davidson","United States","61","TE","free_agent","Free Agent","https://www.maddenratings.com/zach-davidson"
"San Diego St.","placeholder — no rating source found","2022","https://www.maddenratings.com/wp-content/uploads/zach-thomas-22433-madden-photo.png","Zachary Thomas","United States","","","free_agent","Free Agent","https://www.maddenratings.com/zachary-thomas"
"Old Dominion","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/zach-pascal-12997-madden-photo.png","Zach Pascal","United States","71","WR","free_agent","Free Agent","https://www.maddenratings.com/zach-pascal"
"","placeholder — no rating source found","","https://www.maddenratings.com/wp-content/uploads/wesley-french-22558-madden-photo.png","Wesley French","United States","","","free_agent","Free Agent","https://www.maddenratings.com/wesley-french"
"Utah","Madden NFL 26 (backfilled)","2020","https://www.maddenratings.com/wp-content/uploads/zack-moss.png","Zack Moss","United States","78","RB","free_agent","Free Agent","https://www.maddenratings.com/zack-moss"
"Texas Tech","Madden NFL 26 (backfilled)","2021","https://www.maddenratings.com/wp-content/uploads/zech-mcphearson-21700-madden-photo.png","Zech McPhearson","United States","67","DB","free_agent","Free Agent","https://www.maddenratings.com/zech-mcphearson"
"Jackson State","Madden NFL 26 (backfilled)","2023","https://www.maddenratings.com/wp-content/uploads/isaiah-bolden-23281-madden-photo.png","Isaiah Bolden","United States","65","DB","free_agent","Free Agent","https://www.maddenratings.com/isaiah-bolden"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/isaiah-dunn-21999-madden-photo.png","Isaiah Dunn","United States","66","DB","free_agent","Free Agent","https://www.maddenratings.com/isaiah-dunn"
"Georgia","Madden NFL 26 (backfilled)","2018","https://www.maddenratings.com/wp-content/uploads/isaiah-wynn.png","Isaiah Wynn","United States","72","OL","free_agent","Free Agent","https://www.maddenratings.com/isaiah-wynn"
"Oklahoma","Madden NFL 26 (backfilled)","2022","https://www.maddenratings.com/wp-content/uploads/isaiah-thomas-22149-madden-photo.png","Isaiah Thomas","United States","65","LB","free_agent","Free Agent","https://www.maddenratings.com/isaiah-thomas"
"South Carolina","Madden NFL 26 (backfilled)","2021","https://www.maddenratings.com/wp-content/uploads/israel-mukuamu-21456-madden-photo.png","Israel Mukuamu","United States","71","DB","free_agent","Free Agent","https://www.maddenratings.com/israel-mukuamu"
"Purdue","placeholder — no rating source found","","https://www.maddenratings.com/wp-content/uploads/jawhaun-bentley.png","Ja&#8217;Whaun Bentley","United States","","","free_agent","Free Agent","https://www.maddenratings.com/jawhaun-bentley"
"","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/jj-taylor-20925-madden-photo.png","J.J. Taylor","United States","66","RB","free_agent","Free Agent","https://www.maddenratings.com/jj-taylor"
"San Diego St.","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/Jack-Browning.png","Jack Browning","United States","68","P","free_agent","Free Agent","https://www.maddenratings.com/jack-browning"
"Utah","Madden NFL 26 (backfilled)","","https://www.maddenratings.com/wp-content/uploads/jackson-barton-20669-madden-photo.png","Jackson Barton","United States","57","OL","free_agent","Free Agent","https://www.maddenratings.com/jackson-barton"
"Clemson","Madden NFL 26 (backfilled)","2021","https://www.maddenratings.com/wp-content/uploads/jackson-carman-21864-madden-photo.png","Jackson Carman","United States","67","OL","free_agent","Free Agent","https://www.maddenratings.com/jackson-carman"
"North Texas","placeholder — no rating source found","","https://www.maddenratings.com/wp-content/uploads/jaelon-darden.png","Jaelon Darden","United States","","","free_agent","Free Agent","https://www.maddenratings.com/jaelon-darden"
